timestamp,device_id,channel,value,unit,quality,sequence_number
1700000000.000000,sim-pump-01,vibration_x,-0.018767,g,GOOD,0
1700000000.001000,sim-pump-01,vibration_x,0.315821,g,GOOD,1
1700000000.002000,sim-pump-01,vibration_x,0.692887,g,GOOD,2
1700000000.003000,sim-pump-01,vibration_x,0.902324,g,GOOD,3
1700000000.004000,sim-pump-01,vibration_x,1.082076,g,GOOD,4
1700000000.005000,sim-pump-01,vibration_x,1.290776,g,GOOD,5
1700000000.006000,sim-pump-01,vibration_x,1.199742,g,GOOD,6
1700000000.007000,sim-pump-01,vibration_x,1.256497,g,GOOD,7
1700000000.008000,sim-pump-01,vibration_x,1.161717,g,GOOD,8
1700000000.009000,sim-pump-01,vibration_x,0.998175,g,GOOD,9
1700000000.010000,sim-pump-01,vibration_x,0.862531,g,GOOD,10
1700000000.011000,sim-pump-01,vibration_x,0.711176,g,GOOD,11
1700000000.012000,sim-pump-01,vibration_x,0.580321,g,GOOD,12
1700000000.013000,sim-pump-01,vibration_x,0.601165,g,GOOD,13
1700000000.014000,sim-pump-01,vibration_x,0.493087,g,GOOD,14
1700000000.015000,sim-pump-01,vibration_x,0.387252,g,GOOD,15
1700000000.016000,sim-pump-01,vibration_x,0.411163,g,GOOD,16
1700000000.017000,sim-pump-01,vibration_x,0.257245,g,GOOD,17
1700000000.018000,sim-pump-01,vibration_x,0.251865,g,GOOD,18
1700000000.019000,sim-pump-01,vibration_x,0.094389,g,GOOD,19
1700000000.020000,sim-pump-01,vibration_x,0.003281,g,GOOD,20
1700000000.021000,sim-pump-01,vibration_x,-0.109400,g,GOOD,21
1700000000.022000,sim-pump-01,vibration_x,-0.130183,g,GOOD,22
1700000000.023000,sim-pump-01,vibration_x,-0.233647,g,GOOD,23
1700000000.024000,sim-pump-01,vibration_x,-0.345426,g,GOOD,24
1700000000.025000,sim-pump-01,vibration_x,-0.454819,g,GOOD,25
1700000000.026000,sim-pump-01,vibration_x,-0.461878,g,GOOD,26
1700000000.027000,sim-pump-01,vibration_x,-0.528033,g,GOOD,27
1700000000.028000,sim-pump-01,vibration_x,-0.658851,g,GOOD,28
1700000000.029000,sim-pump-01,vibration_x,-0.783749,g,GOOD,29
1700000000.030000,sim-pump-01,vibration_x,-0.956678,g,GOOD,30
1700000000.031000,sim-pump-01,vibration_x,-0.927880,g,GOOD,31
1700000000.032000,sim-pump-01,vibration_x,-1.138533,g,GOOD,32
1700000000.033000,sim-pump-01,vibration_x,-1.196497,g,GOOD,33
1700000000.034000,sim-pump-01,vibration_x,-1.221637,g,GOOD,34
